proposal_id,nb_entailed_proposals,nb_contradictory_proposals,nb_votes_for,nb_votes_mixed,nb_votes_against,nb_args_for,nb_args_against,controversiality_nli,controversiality_votes,controversiality_args
3d0d69e9-e908-11e9-adee-0242ac110003,18,62,967,129,282,139,84,0.30158730158730157,0.37556973564266183,0.6071428571428571
2fbf1d46-e908-11e9-adee-0242ac110003,0,41,733,216,817,186,254,0.023809523809523808,0.9187620889748549,0.7333333333333333
465b67cb-0be9-11ea-ac8c-0242ac110002,14,68,1,0,0,0,0,0.21739130434782608,-1.0,-1.0
cef050a3-0be8-11ea-ac8c-0242ac110002,9,89,1,0,0,0,0,0.1111111111111111,-1.0,-1.0
547f14ff-0be8-11ea-ac8c-0242ac110002,14,65,1,0,0,1,0,0.22727272727272727,-1.0,-1.0
e5d2a840-0be7-11ea-ac8c-0242ac110002,8,57,1,0,0,0,0,0.15517241379310345,-1.0,-1.0
e9c9349c-0b9b-11ea-ac8c-0242ac110002,0,5,1,0,0,0,0,-1.0,-1.0,-1.0
a9536869-0b62-11ea-ac8c-0242ac110002,53,60,1,0,0,1,0,0.8852459016393442,-1.0,-1.0
7ef03c8b-0b23-11ea-ac8c-0242ac110002,28,54,1,0,0,0,0,0.5272727272727272,-1.0,-1.0
0016b00a-0b20-11ea-ac8c-0242ac110002,20,78,1,0,0,0,0,0.26582278481012656,-1.0,-1.0
98ae0f41-0ad1-11ea-ac8c-0242ac110002,22,22,0,0,0,0,0,1.0,-1.0,-1.0
cff0ffd7-0aac-11ea-ac8c-0242ac110002,15,67,1,0,0,0,0,0.23529411764705882,-1.0,-1.0
967ec62c-0a5c-11ea-ac8c-0242ac110002,16,77,0,0,0,0,0,0.21794871794871795,-1.0,-1.0
0a01c387-0a2b-11ea-ac8c-0242ac110002,23,49,0,0,0,0,0,0.48,-1.0,-1.0
868d74bc-0a23-11ea-ac8c-0242ac110002,16,49,0,0,0,0,0,0.34,-1.0,-1.0
db0c21e8-0a1d-11ea-ac8c-0242ac110002,6,30,0,0,0,1,0,0.22580645161290322,-1.0,-1.0
cf1ce217-09f8-11ea-ac8c-0242ac110002,3,10,1,0,0,0,0,-1.0,-1.0,-1.0
f2296cba-09be-11ea-ac8c-0242ac110002,13,84,1,0,0,0,0,0.16470588235294117,-1.0,-1.0
e5c38089-0971-11ea-ac8c-0242ac110002,14,38,0,0,3,0,2,0.38461538461538464,-1.0,-1.0
75af4ed4-0969-11ea-ac8c-0242ac110002,15,50,1,0,0,0,0,0.3137254901960784,-1.0,-1.0
c5b41a98-094e-11ea-ac8c-0242ac110002,79,111,1,0,0,0,0,0.7142857142857143,-1.0,-1.0
bcc4e35f-094e-11ea-ac8c-0242ac110002,26,49,0,0,0,0,0,0.54,-1.0,-1.0
4e9408b4-091e-11ea-ac8c-0242ac110002,9,3,1,0,0,0,0,-1.0,-1.0,-1.0
3ed3d68a-0897-11ea-ac8c-0242ac110002,17,69,0,0,0,0,0,0.2571428571428571,-1.0,-1.0
09e68bb7-0897-11ea-ac8c-0242ac110002,23,85,0,0,0,0,0,0.27906976744186046,-1.0,-1.0
c7d0d597-088a-11ea-ac8c-0242ac110002,28,53,0,0,1,0,0,0.5370370370370371,-1.0,-1.0
bc6cbcc3-0851-11ea-ac8c-0242ac110002,27,68,1,0,0,0,0,0.4057971014492754,-1.0,-1.0
1b158844-07c5-11ea-ac8c-0242ac110002,13,47,0,0,0,0,0,0.2916666666666667,-1.0,-1.0
9639e179-0712-11ea-80b3-0242ac110002,13,71,0,0,0,0,0,0.19444444444444445,-1.0,-1.0
85875109-06e5-11ea-80b3-0242ac110002,38,71,0,0,0,0,0,0.5416666666666666,-1.0,-1.0
21dd4f6e-0630-11ea-80b3-0242ac110002,58,44,1,0,0,0,0,0.7627118644067796,-1.0,-1.0
3dae5fd7-062f-11ea-80b3-0242ac110002,19,39,0,0,0,0,0,0.5,-1.0,-1.0
06c42238-062f-11ea-80b3-0242ac110002,29,63,0,0,0,0,0,0.46875,-1.0,-1.0
b90f8aa1-0610-11ea-80b3-0242ac110002,13,100,0,0,0,0,0,0.13861386138613863,-1.0,-1.0
7a32e367-0545-11ea-80b3-0242ac110002,16,92,0,0,0,0,0,0.1827956989247312,-1.0,-1.0
fd5e44cc-0510-11ea-80b3-0242ac110002,9,46,1,0,0,0,0,0.2127659574468085,-1.0,-1.0
378aa7a2-0510-11ea-80b3-0242ac110002,39,38,1,0,0,0,0,0.975,-1.0,-1.0
eab8d561-04d2-11ea-80b3-0242ac110002,27,62,1,0,1,0,0,0.4444444444444444,-1.0,-1.0
7cb554fe-04ce-11ea-80b3-0242ac110002,64,19,0,0,0,0,0,0.3076923076923077,-1.0,-1.0
0abba184-04c0-11ea-80b3-0242ac110002,8,91,0,0,0,0,0,0.09782608695652174,-1.0,-1.0
9e04aace-04b9-11ea-80b3-0242ac110002,38,64,0,0,0,0,0,0.6,-1.0,-1.0
51be81b3-049e-11ea-80b3-0242ac110002,9,61,2,0,0,0,0,0.16129032258064516,-1.0,-1.0
f5671b33-03da-11ea-80b3-0242ac110002,19,62,0,0,1,0,0,0.31746031746031744,-1.0,-1.0
98272f82-03ba-11ea-80b3-0242ac110002,23,64,4,0,0,0,0,0.36923076923076925,-1.0,-1.0
ff2e8d8b-0390-11ea-80b3-0242ac110002,38,13,1,0,0,0,0,0.358974358974359,-1.0,-1.0
b539bdd2-02b8-11ea-80b3-0242ac110002,10,46,1,0,1,1,1,0.23404255319148937,-1.0,-1.0
